,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
20,Traveling Wind Technician - GE LOTO Certification a must,Employer Provided Salary:$24 - $30 Per Hour,"Required:
GE LOTO Certs
GE Maintenance Certs
JOB SUMMARY
Wind Turbine Technicians must carry out daily tasks to include inspecting, maintaining, commissioning, operating, troubleshooting and repairing wind turbines, all while keeping safety as their top priority. Locations are nationwide, so availability for extensive travel is required.
COMPENSATION
$24.00 - $30.00 per hour, based on experience",-1,SurgeHire,Texas,Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable
21,Texas - Midwest US - Wind Technician,-1,"The field engineer is responsible for providing product and application expertise to the market, supporting our field sales activities. Advise customers about the best selection of solutions available in Mersen product portfolio. Maintain high level of market knowledge. Keep close communication with engineering groups helping them to learn the best features of Mersen products. Validate new product introduction in the renewables market.
Main Accountabilities
Travel to site or engineering offices to conduct uptower inspections, network with key engineers and present key data to main stakeholders
Technical data collection and initial analysis of customer processes in support of business initiatives
Perform products troubleshoot activities in the field when needed.",-1,Mersen USA Holding Corp,Remote,-1,-1,-1,-1,-1,-1
22,Traveling Wind Turbine Technician,Employer Provided Salary:$22 - $26 Per Hour,"Job Description
Job Title: Traveling Wind Turbine Technician
Reports To: Operations Manager
Hours: Full Time 50 – 60 hours per week
Pay: $22-$26/hour Depending on Experience & Qualifications
Job Summary:
Rewarding position available for motivated individuals seeking an opportunity in the wind energy industry. Applicants must be hard working, motivated, willing to learn, able to work well with others and able to travel 100% of the time.",-1,Wind Secure Inc.,"Lake Orion, MI",-1,-1,-1,-1,-1,-1
23,Production Technician - Blade,Employer Provided Salary:$32 - $35 Per Hour,"Position: Production Technician – Blade
Department: Operations
Location: Belle Ayr
Reports to: Team Coordinator
Position Summary
Perform any/all duties associated with safe, open pit mining operations. Individual should be willing to be an active participant in the team process, by performing team meeting roles, accepting, and completing AIP’s and striving for continuous improvement. Operating a variety of heavy equipment in the mining industry such as blade, rubber tire dozer, haul trucks, etc.",-1,Eagle Specialty Materials,"Gillette, WY",-1,-1,-1,-1,-1,-1
24,Wind Technician I or II,$40K - $70K (Glassdoor est.),"More than a career - a chance to make a difference in people's lives.
Build an exciting, rewarding career with us – help us make a difference for millions of people every day. Consider joining the Duke Energy team, where you'll find a friendly work environment, opportunities for growth and development, recognition for your work, and competitive pay and benefits.
Must live or be willing to relocate within 45 minutes of site location. The site is located 15 minutes due west of Cheyenne, Wyoming.
Relocation will be offered for this position








5-15%
Yes
No
No
Sunday, November 28, 2021",4.0,"Duke Energy
4.0","Cheyenne, WY",10000+ Employees,1917,Company - Public,Energy,"Oil, Gas, Energy & Utilities",$10+ billion (USD)
25,Wind Turbine Manufacturing Engineer,-1,"Job Description Summary
The Wind Turbine Manufacturing Engineer will establish internal processes that ensure the safe production of high-quality products that meet compliance and customer requirements. Drive continuous improvement across Wind Turbine Hub production lines and Outbound Shipping processes by owning project timelines, improving cycle & cost, and resolving technical issues. Lead and effectively interface with assembly teams and other support functions to complete critical projects that meet and exceed Safety, Quality, Delivery and Cost goals within schedule and budget.
Job Description
Roles and Responsibilities:",4.0,"GE
4.0","Pensacola, FL",10000+ Employees,1892,Company - Public,Industrial Manufacturing,Manufacturing,$10+ billion (USD)
26,Wind Technician,$35K - $65K (Glassdoor est.),"Invenergy drives innovation in energy. Powered by decades of entrepreneurial experience and unparalleled execution, we solve the energy challenges facing our customers and communities. We provide power generation and storage solutions at scale around the world to create a cleaner energy future. We develop. We build. We own. We operate. We are Invenergy.
Job Description
About The Site
The Camp Springs Energy Center is a 250.5 MW wind power generation facility located in Snyder, TX utilizing GE 1.5 SLE turbine technology.
Position Overview",3.7,"Invenergy
3.7","Snyder, TX",501 to 1000 Employees,2001,Company - Private,Energy,"Oil, Gas, Energy & Utilities",$50 to $100 million (USD)
27,Wind Turbine Technician - Ranchland,$33K - $67K (Glassdoor est.),"It takes the brightest minds to be a technology leader. It takes imagination to create green energy for the generations to come. At Siemens Gamesa we make real what matters, join our global team.
Performs technical, mainly pre-defined tasks for accomplishing defined service delivery work for customer equipment.
Wind Technician- Service Technician
Position Overview
Join one of the world’s leading suppliers of wind power solutions as a Wind Technician for Siemens Gamesa Renewable Energy! Demand for electricity generated from renewable sources is growing fast, and Siemens Gamesa Renewable Energy has the answers. As one of the market leaders, we combine technological innovations, experience, and expertise to deliver readily available, one-stop solutions and have a proven track record of successfully delivering wind power projects on all continents. SGRE is currently seeking highly talented and motivated candidates for a Wind Technician position. The candidate will work together with a multi-disciplinary group to ensure top performance on our wind farms. The ideal candidate has the ability to work a flexible schedule, along with the ability to analyze and resolve problems independently and efficiently. S/he will provide excellent service to our customers, have the ability to work on complex systems in challenging environments, and participate in the development of new field procedures and best practices.",3.9,"Siemens Gamesa Renewable Energy
3.9","Albany, TX",10000+ Employees,2017,Company - Public,Energy,"Oil, Gas, Energy & Utilities",$10+ billion (USD)
28,Wind Turbine Manufacturing Engineer,$55K - $92K (Glassdoor est.),"Job Description Summary
The Wind Turbine Manufacturing Engineer will establish internal processes that ensure the safe production of high-quality products that meet compliance and customer requirements. Drive continuous improvement across Wind Turbine Hub production lines and Outbound Shipping processes by owning project timelines, improving cycle & cost, and resolving technical issues. Lead and effectively interface with assembly teams and other support functions to complete critical projects that meet and exceed Safety, Quality, Delivery and Cost goals within schedule and budget.
Job Description
Roles and Responsibilities:",-1,GE Renewable Energy,"Pensacola, FL",10000+ Employees,2015,Subsidiary or Business Segment,Energy,"Oil, Gas, Energy & Utilities",$10+ billion (USD)
29,"Wind Technician - BRGT (Hagerman, Idaho)",-1,"Job Description Summary
Job Description
Sign-On Bonus for all non-GE employees
The Wind Technician is a critical and active role to maintain optimal function and output at the wind site by working daily on turbine operations, required maintenance, safety, quality control and warranty repair(s). The Wind Technician partners and communicates with the Site Lead and Manager to execute on contract requirements and timelines and ensures alignment with GE excellence!
Essential Responsibilities",4.0,"GE
4.0","Hagerman, ID",10000+ Employees,1892,Company - Public,Industrial Manufacturing,Manufacturing,$10+ billion (USD)
